account_id,account_name,coupon,date,week,month,action,mrr,plan,recurrence,segment
161,daride,ree,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
383,chudia,,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,affiliate
363,synink,,6/27/17,6/25/17,6/1/17,new,24.17,business,monthly,self-signup
218,dilr17,,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
493,heats4,,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
797,elpen1,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
404,geovi1,,6/27/17,6/25/17,6/1/17,new,24.17,personal,annual,self-signup
979,gruat2,off,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
347,bha911,t50,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
815,ccece1,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
328,parham,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
458,msvd37,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
465,sou3io,,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
709,brahed,off,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
690,sperks,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,affiliate
849,deaigs,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
875,berde1,p30,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
686,casrkz,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
911,gaaaav,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
239,hhbers,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
148,traint,off,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
280,antoya,,6/27/17,6/25/17,6/1/17,new,82.5,personal,monthly,self-signup
556,przjem,,6/27/17,6/25/17,6/1/17,new,40.79,business,monthly,self-signup
383,wtfast,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
591,blas23,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
745,belbon,,6/27/17,6/25/17,6/1/17,new,82.5,business,monthly,self-signup
450,cirers,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
806,valent,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
940,whe792,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,sales assisted
822,blutch,ual,6/27/17,6/25/17,6/1/17,new,82.5,personal,monthly,agency
605,codie3,,6/27/17,6/25/17,6/1/17,new,0,premium,monthly,agency
928,seeard,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
282,matski,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
384,rnting,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,affiliate
431,remube,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
708,noeedo,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
