account_id,account_name,coupon,date,week,month,action,mrr,plan,recurrence,segment
161715,daride,ree,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
383606,chudia,,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,affiliate
363691,synink,,6/27/17,6/25/17,6/1/17,new,24.17,business,monthly,self-signup
218481,dilr17,,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
493230,heats4,,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
797534,elpen1,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
404170,geovi1,,6/27/17,6/25/17,6/1/17,new,24.17,personal,annual,self-signup
979250,gruat2,off,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
347149,bha911,t50,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
815500,ccece1,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
328959,parham,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
458823,msvd37,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
465421,sou3io,,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
709823,brahed,off,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
690217,sperks,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,affiliate
849746,deaigs,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
875377,berde1,p30,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
686335,casrkz,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
911720,gaaaav,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
239217,hhbers,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
148081,traint,off,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
280546,antoya,,6/27/17,6/25/17,6/1/17,new,82.5,personal,monthly,self-signup
556654,przjem,,6/27/17,6/25/17,6/1/17,new,40.79,business,monthly,self-signup
38375,wtfast,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
591201,blas23,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
74526,belbon,,6/27/17,6/25/17,6/1/17,new,82.5,business,monthly,self-signup
450258,cirers,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
806509,valent,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
940610,whe792,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,sales assisted
822891,blutch,ual,6/27/17,6/25/17,6/1/17,new,82.5,personal,monthly,agency
605908,codie3,,6/27/17,6/25/17,6/1/17,new,0,premium,monthly,agency
928239,seeard,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
282560,matski,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
384755,rnting,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,affiliate
431644,remube,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
70806,noeedo,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
156100,cro247,,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,sales assisted
585395,runree,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
560322,jenger,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
668255,arbe03,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
796566,chgsky,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
278839,stetwo,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
603871,bodvon,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
663817,parrip,t50,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
679976,braset,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
7647,cykcyk,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
250192,wlak00,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
799596,ctatam,,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
778681,hacaus,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
138598,ant0te,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
233663,chovwp,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
412396,tomare,off,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
