,show_name,show_clips_count,show_episodes_count,main_genre,show_rating,show_seasons_count,show_videos_count,show_company_name,Action and Adventure,Animation and Cartoons,Anime,Anime - Action Adventure,Anime - Supernatural and Horror,Anime - Tournament,Classics,Comedy,Competition,Cooking Competitions,Crime and Courtroom Drama,Drama,Espionage,Family,Fashion and Beauty,Food,Health and Wellness,Horror and Suspense,International,Japanese,Kids,Late Night Comedy,Latino,Lifestyle,Medical Drama,Military and War,Music,Musicals,Mystery,News and Information,Police Drama,Primetime Animation,Real Life Drama,Reality and Game Shows,Romance,Romantic Comedy,Saturday Morning Cartoons,Science Fiction,Science Fiction - Thriller,Sitcoms,Sketch Comedy,Soap Operas,Talk and Interview,Teen,Videogames
0,family-guy,288,288,Animation and Cartoons,4.35370739,15,576,FOX,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,south-park,3874,274,Comedy,4.36303207,20,4148,Comedy Central,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,american-dad,121,172,Comedy,4.114006824,9,293,Fox Television Classics,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,law-and-order-special-victims-unit,176,406,Drama,4.622855997,18,582,NBC,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,naruto-shippuden,16,597,Anime,4.400626276000001,9,613,Viz Media,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,seinfeld,63,171,Comedy,4.366506162,9,234,Sony Pictures Television,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,modern-family,68,22,Comedy,4.6405570019999995,1,90,ABC,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,adventure-time,223,223,Kids,4.36580305,7,446,Cartoon Network,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,saturday-night-live,7073,370,Comedy,4.083795347,18,7443,NBC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,the-mindy-project,23,107,Comedy,4.440965244,5,130,Hulu Original Series,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,community,0,110,Comedy,4.583853327,6,110,Sony Pictures Television,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,greys-anatomy,155,24,Drama,4.462517355,1,179,ABC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,the-simpsons,405,21,Comedy,4.2592977869999995,1,426,FOX,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
13,brooklyn-nine-nine,155,90,Comedy,4.525913142,4,245,FOX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,parks-and-recreation,1,123,Comedy,4.582548165,7,124,NBC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,the-amazing-world-of-gumball,156,156,Kids,4.0158769560000005,4,312,Cartoon Network,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,bobs-burgers,99,129,Animation and Cartoons,4.323962371,7,228,FOX,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,new-girl,139,22,Comedy,4.5882924880000004,1,161,FOX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,glee,0,121,Drama,4.187489416,6,121,FOX,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,bones,60,246,Drama,4.618597705,12,306,FOX,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,nashville,426,107,Drama,4.424495117,5,533,CMT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,regular-show,220,217,Kids,4.061273937,7,437,Cartoon Network,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,once-upon-a-time,135,22,Drama,4.715775889,1,157,ABC,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
23,rick-and-morty,21,21,Animation and Cartoons,4.772879511,2,42,Adult Swim,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
